Name,Fulladdress,Street,Municipality,Categories,Phone,Phones,Claimed,Review Count,Average Rating,Review URL,Google Maps URL,Latitude,Longitude,Website,Domain,Opening hours,Featured image,Cid,Place Id,Kgmid,Plus code,Google Knowledge URL,Email,Social Medias,Facebook,Instagram,Twitter,Yelp
"Kokilaben Dhirubhai Ambani Hospital, Navi Mumbai",,Thane - Belapur Rd,opp. Kopar Khairane Ghansoli Station Road,"Hospital,Cancer treatment center,Emergency care service,Heart hospital,Medical Center,Private hospital",022 7197 1111,"022 7197 1111, +91 22 7197 1111",YES,2931,4.4,https://search.google.com/local/reviews?placeid=ChIJe4nnk97A5zsRm-hEdyMXGYs&q=navi+mumbai+all+Hospitals&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=10023067886782048411,19.102902399999998,73.012937,https://navimumbai.kokilabenhospital.com/,kokilabenhospital.com,"Monday:[Open 24 hours], Tuesday:[Open 24 hours], Wednesday:[Open 24 hours], Thursday:[Open 24 hours], Friday:[Open 24 hours], Saturday:[Open 24 hours], Sunday:[Open 24 hours]",https://lh5.googleusercontent.com/p/AF1QipO6vGAH5NndKXTGWwA4a0tPS_ymx2AM4BFM5wyX=w163-h92-k-no,10023067886782048411,ChIJe4nnk97A5zsRm-hEdyMXGYs,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Lions Hospital,"4223+7WF, 101, Vashi Kopar Khairane Rd, Sector 7, Kopar Khairane, Navi Mumbai, Maharashtra 400709",4223+7WF,"101, Vashi Kopar Khairane Rd",Hospital,022 2754 4012,"022 2754 4012, +91 22 2754 4012",YES,1359,4.6,https://search.google.com/local/reviews?placeid=ChIJBwjGZtfA5zsRSkb7XzqM3do&q=navi+mumbai+all+Hospitals&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=15770915652467639882,19.1005881,73.0047438,http://lionshospital.co.in/,lionshospital.co.in,"Monday:[Open 24 hours], Tuesday:[Open 24 hours], Wednesday:[Open 24 hours], Thursday:[Open 24 hours], Friday:[Open 24 hours], Saturday:[Open 24 hours], Sunday:[Open 24 hours]",https://lh5.googleusercontent.com/p/AF1QipOMN0wjicacM_TU8gTrV2n3QW4GJWjk3GFA3S30=w122-h92-k-no,15770915652467639882,ChIJBwjGZtfA5zsRSkb7XzqM3do,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Indravati Hospital,"Indravati Hospital & Research Centre, Sector 3K Behind NMMT Bus Depot Airoli(W, Sector 3, Airoli, Navi Mumbai, Maharashtra 400708",Indravati Hospital & Research Centre,Sector 3K Behind NMMT Bus Depot Airoli(W,"Hospital,General hospital,Research institute",022 6161 7777,"022 6161 7777, +91 22 6161 7777",YES,1754,4.4,https://search.google.com/local/reviews?placeid=ChIJ__8_d7bG5zsRUNwgVG4vhm0&q=navi+mumbai+all+Hospitals&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=7892047547917720656,19.1568303,72.9979309,http://indravatihospital.com/,indravatihospital.com,"Monday:[Open 24 hours], Tuesday:[Open 24 hours], Wednesday:[Open 24 hours], Thursday:[Open 24 hours], Friday:[Open 24 hours], Saturday:[Open 24 hours], Sunday:[Open 24 hours]",https://lh5.googleusercontent.com/p/AF1QipONFQNNcAFSXLCZBPIYi5SBS2bkrbZvc6HRbV62=w80-h106-k-no,7892047547917720656,ChIJ__8_d7bG5zsRUNwgVG4vhm0,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
MATRIX,"Plot No. 21, behind ITM HOSTEL, Sector-5, Kharghar, Navi Mumbai, Maharashtra 410210",Plot No. 21,behind ITM HOSTEL,Private hospital,022 6253 5700,"022 6253 5700, +91 22 6253 5700",YES,555,4.9,https://search.google.com/local/reviews?placeid=ChIJy8DYaRfD5zsRukpsM0Jkwbw&q=navi+mumbai+all+Hospitals&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=13601262585128962746,19.0353729,73.05859749999999,https://matrixhospitals.com/,matrixhospitals.com,"Monday:[Open 24 hours], Tuesday:[Open 24 hours], Wednesday:[Open 24 hours], Thursday:[Open 24 hours], Friday:[Open 24 hours], Saturday:[Open 24 hours], Sunday:[Open 24 hours]",https://lh5.googleusercontent.com/p/AF1QipPq3C07Xldw2Hfma-5HPfa6AS6HYXDaD1L88Y1w=w122-h92-k-no,13601262585128962746,ChIJy8DYaRfD5zsRukpsM0Jkwbw,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
"City Care Hospital-Best Hospital in Kharghar, Navi Mumbai","Plot no 18, Dream Corner, Sector-34 A, Parsi, Kharghar, Navi Mumbai, Maharashtra 410210",Plot no 18,Dream Corner,"Hospital,Obstetrician-gynecologist,Orthopedic surgeon",085299 49596,"085299 49596, +91 85299 49596",YES,86,4.5,https://search.google.com/local/reviews?placeid=ChIJxVSKpfzB5zsR9zS3KxdeMKo&q=navi+mumbai+all+Hospitals&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=12263405238940546295,19.068917,73.08232339999999,https://www.citycarehospitals.in/,citycarehospitals.in,"Monday:[Open 24 hours], Tuesday:[Open 24 hours], Wednesday:[Open 24 hours], Thursday:[Open 24 hours], Friday:[Open 24 hours], Saturday:[Open 24 hours], Sunday:[Open 24 hours]",https://lh5.googleusercontent.com/p/AF1QipP8GmShOWoyZiLJ-K_0mi6f4x2yxXaYTYUjOPoq=w80-h142-k-no,12263405238940546295,ChIJxVSKpfzB5zsR9zS3KxdeMKo,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Terna,"Phase ||, Plot no 12, Sector 22, opp. Railway Station, Nerul West, Navi Mumbai, Maharashtra 400706",Phase ||,"Plot no 12, Sector 22","Specialized hospital,Doctor,Health consultant,Heart hospital,Hospital,Private hospital",022 6157 8300,"022 6157 8300, +91 22 6157 8300",YES,817,3.6,https://search.google.com/local/reviews?placeid=ChIJB7K-hurD5zsRFsn534xOFX8&q=navi+mumbai+all+Hospitals&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=9157311784287848726,19.0315506,73.0162419,http://ternahospital.org/,ternahospital.org,"Monday:[Open 24 hours], Tuesday:[Open 24 hours], Wednesday:[Open 24 hours], Thursday:[Open 24 hours], Friday:[Open 24 hours], Saturday:[Open 24 hours], Sunday:[Open 24 hours]",https://lh5.googleusercontent.com/p/AF1QipMH3qI1gVINPtwVj-V5P2eROKjyLF9rcaSGmOA8=w209-h92-k-no,9157311784287848726,ChIJB7K-hurD5zsRFsn534xOFX8,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
APEX HOSPITAL,"Plot No. 194, Nms Icon, 3rd Floor, near Bamandongri Railway Station, Sector 19, Ulwe, Navi Mumbai, Maharashtra 410206","Plot No. 194, Nms Icon",3rd Floor,Hospital,077100 95368,"077100 95368, +91 77100 95368",NO,11,4.9,https://search.google.com/local/reviews?placeid=ChIJ11OkwonD5zsRqxw3x_2r8RE&q=navi+mumbai+all+Hospitals&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=1293003674489396395,18.9743945,73.0278677,,,"Monday:[Open 24 hours], Tuesday:[Open 24 hours], Wednesday:[Open 24 hours], Thursday:[Open 24 hours], Friday:[Open 24 hours], Saturday:[Open 24 hours], Sunday:[Open 24 hours]",https://lh5.googleusercontent.com/p/AF1QipMZbOpYeS2MBAeQKVSq9QDwT8ugQOU5W-S6ZcKD=w80-h142-k-no,1293003674489396395,ChIJ11OkwonD5zsRqxw3x_2r8RE,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
MGM Hospital & Research Centre,"PLOT NO 1 , SECTOR NO, 1A, Sector 1A, CBD Belapur, Navi Mumbai, Maharashtra 400614","PLOT NO 1 , SECTOR NO",1A,Private hospital,076076 02108,"076076 02108, +91 76076 02108",YES,1910,4.5,https://search.google.com/local/reviews?placeid=ChIJAQAA8EzC5zsRJG4mHeWJzBo&q=navi+mumbai+all+Hospitals&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=1931069957364674084,19.025676,73.0416193,http://www.mgmhospitalcbd.com/,mgmhospitalcbd.com,"Monday:[Open 24 hours], Tuesday:[Open 24 hours], Wednesday:[Open 24 hours], Thursday:[Open 24 hours], Friday:[Open 24 hours], Saturday:[Open 24 hours], Sunday:[Open 24 hours]",https://lh5.googleusercontent.com/p/AF1QipMIwS175KicjsT5-6MGFUJxO4CKgnVIwK8sTgdC=w185-h92-k-no,1931069957364674084,ChIJAQAA8EzC5zsRJG4mHeWJzBo,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Vinamra Swaraj Hospital,"plot 108, Navnath Apartment, 109, Vashi Kopar Khairane Rd, opposite Shiv Sena Shaka, Panchdeep CHS, Juhu Village, Sector 11, Vashi, Navi Mumbai, Maharashtra 400703",plot 108,Navnath Apartment,"Private hospital,Doctor,General hospital,Hospital",022 4206 1000,"022 4206 1000, +91 22 4206 1000",YES,423,3.9,https://search.google.com/local/reviews?placeid=ChIJtcQ_uy_B5zsRycZSzBpKoqQ&q=navi+mumbai+all+Hospitals&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=11863125847404889801,19.0875129,73.0030597,http://www.vinamraswarajhospital.com/,vinamraswarajhospital.com,"Monday:[Open 24 hours], Tuesday:[Open 24 hours], Wednesday:[Open 24 hours], Thursday:[Open 24 hours], Friday:[Open 24 hours], Saturday:[Open 24 hours], Sunday:[Open 24 hours]",https://lh5.googleusercontent.com/p/AF1QipNJ-RNY7bjOCYrebEcTuyqq16W76RN-7LThJMgs=w80-h142-k-no,11863125847404889801,ChIJtcQ_uy_B5zsRycZSzBpKoqQ,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
D Y Patil Hospital,"Ayyappa Temple Rd, Dr D Y Patil Vidyanagar, Sector 5, Nerul, Navi Mumbai, Maharashtra 400706",Ayyappa Temple Rd,"Dr D Y Patil Vidyanagar, Sector 5, Nerul","Hospital,General hospital",022 2773 5901,"022 2773 5901, +91 22 2773 5901",YES,3068,4.3,https://search.google.com/local/reviews?placeid=ChIJVVVVpRjG5zsRyCXmkVG4RqQ&q=navi+mumbai+all+Hospitals&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=11837351331069568456,19.0411561,73.0246854,,,"Monday:[Open 24 hours], Tuesday:[Open 24 hours], Wednesday:[Open 24 hours], Thursday:[Open 24 hours], Friday:[Open 24 hours], Saturday:[Open 24 hours], Sunday:[Open 24 hours]",https://lh5.googleusercontent.com/p/AF1QipMzr2Au1DdoCDYD-oxFmXrrxpKTRk9ll_gc3K2S=w163-h92-k-no,11837351331069568456,ChIJVVVVpRjG5zsRyCXmkVG4RqQ,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
