Name,Fulladdress,Street,Municipality,Categories,Phone,Phones,Claimed,Review Count,Average Rating,Review URL,Google Maps URL,Latitude,Longitude,Website,Domain,Opening hours,Featured image,Cid,Place Id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R A Podar College Of Commerce & Economics,"2VF2+V3G, L.N. Road, Matunga East, Mumbai, Maharashtra 400019",2VF2+V3G,L.N. Road,College,022 2414 2960,"022 2414 2960, +91 22 2414 2960",NO,787,4.3,https://search.google.com/local/reviews?placeid=ChIJoRC8_hjO5zsRG8wSto_F0jI&q=Mumbai+all+colleges&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=3662206668031314971,19.0246952,72.8502031,http://www.rapodar.ac.in/,rapodar.ac.in,,https://lh5.googleusercontent.com/p/AF1QipMF_Zs7aYWVX0rZV5tI2kLqr8-wU6UxSTMY2BLO=w122-h92-k-no,3.66E+18,ChIJoRC8_hjO5zsRG8wSto_F0jI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acharya marathe college,"7-50, Narayan Gajanan Acharya Marg, near Subhash Nagar, Shree Saraswati Society, Vaibhav Nagar, Chembur, Mumbai, Maharashtra 400071","7-50, Narayan Gajanan Acharya Marg",near Subhash Nagar,College,022 2521 8797,"022 2521 8797, +91 22 2521 8797",YES,653,4.1,https://search.google.com/local/reviews?placeid=ChIJtzj2o87H5zsRYU7RwB2uIf8&q=Mumbai+all+colleges&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=18384166596715302497,19.0582366,72.9075473,http://www.acharyamarathecollege.in/,acharyamarathecollege.in,,https://lh5.googleusercontent.com/p/AF1QipNowqDQ4ZAtU8dPM50gO61gtPZJBoLjctkFbAKV=w122-h92-k-no,1.84E+19,ChIJtzj2o87H5zsRYU7RwB2uIf8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SIES College Of Arts, Science & Commerce (Autonomous)","84 & 106, 107, Road No 25, Jain Society, Sion, Mumbai, Maharashtra 400022",84 & 106,"107, Road No 25",College,022 2407 2729,"022 2407 2729, +91 22 2407 2729",NO,310,4.2,https://search.google.com/local/reviews?placeid=ChIJpfsQ-NLI5zsRO03ttY5dsj4&q=Mumbai+all+colleges&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=4517776243724995899,19.0412952,72.8611248,http://siesascs.edu.in/,siesascs.edu.in,"Sunday:[Open 24 hours], Monday:[Open 24 hours], Tuesday:[Open 24 hours], Wednesday:[Open 24 hours], Thursday:[Open 24 hours], Friday:[Open 24 hours], Saturday:[Open 24 hours]",https://lh5.googleusercontent.com/p/AF1QipMQGPYwnIHyXcx1zQa51XwP0EABwV-VdH_yCVHj=w163-h92-k-no,4.52E+18,ChIJpfsQ-NLI5zsRO03ttY5dsj4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smt. M.M.K College of Commerce & Economics,"Adv, Nari Gursahani Rd, T.P.S III, Mumbai, Maharashtra 400050",Adv,Nari Gursahani Rd,College,022 2649 5230,"022 2649 5230, +91 22 2649 5230",YES,537,4,https://search.google.com/local/reviews?placeid=ChIJjzjPrD_J5zsRAoVIvIzKF2o&q=Mumbai+all+colleges&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=7644801598287807746,19.0640778,72.8357016,https://www.mmk.edu.in/,mmk.edu.in,,https://lh5.googleusercontent.com/p/AF1QipMbIrdZCbNwhV9BkbnjDNTPHpCg6rvYX-LN4U7a=w122-h92-k-no,7.64E+18,ChIJjzjPrD_J5zsRAoVIvIzKF2o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don Bosco College,"W) Railway Station, Don Bosco Center for Learning Campus, D-Wing Premier Automobiles Road, Near Vidyavihar, Kurla, W, Maharashtra 400070",W) Railway Station,"Don Bosco Center for Learning Campus, D-Wing Premier Automobiles Road, Near Vidyavihar",College,022 6887 8700,"022 6887 8700, +91 22 6887 8700",YES,175,4.5,https://search.google.com/local/reviews?placeid=ChIJJ-4jNGHJ5zsRx3fIfCbbu2U&q=Mumbai+all+colleges&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=7330693776824367047,19.0822075,72.888588,http://www.donboscocollege.in/,donboscocollege.in,,https://lh5.googleusercontent.com/p/AF1QipPryfptGcrNfp8V18p5QT3zIIaTYG8Ut44Ad_NH=w122-h92-k-no,7.33E+18,ChIJJ-4jNGHJ5zsRx3fIfCbbu2U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"D.G. Ruparel College of Arts, Science and Commerce","2RHW+44W, Senapati Bapat Marg, Mahalaxmi Sindhi Colony, Matunga West, Mumbai, Maharashtra 400016",2RHW+44W,Senapati Bapat Marg,College,022 2430 3081,"022 2430 3081, +91 22 2430 3081",NO,1391,4.2,https://search.google.com/local/reviews?placeid=ChIJGWPN1tDO5zsR7WmIuRRMTZ8&q=Mumbai+all+colleges&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=11478914677133044205,19.0278689,72.8453341,http://www.ruparel.edu/,ruparel.edu,"Sunday:[Closed], Monday:[8 am–6 pm], Tuesday:[8 am–6 pm], Wednesday:[8 am–6 pm], Thursday:[8 am–6 pm], Friday:[8 am–6 pm], Saturday:[8 am–6 pm]",https://lh5.googleusercontent.com/p/AF1QipOKGKraQfYoMybr-SY0ZGNkiXae9BlsSceDkQeF=w80-h106-k-no,1.15E+19,ChIJGWPN1tDO5zsR7WmIuRRMTZ8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tolani College of Commerce,"150-151, Guru Gobind Singh Marg, Madhukunj Society, Sher E Punjab Colony, Andheri East, Mumbai, Maharashtra 400093","150-151, Guru Gobind Singh Marg","Madhukunj Society, Sher E Punjab Colony, Andheri East",College,022 6153 5455,"022 6153 5455, +91 22 6153 5455",NO,403,4,https://search.google.com/local/reviews?placeid=ChIJ3fbhLifI5zsRJY0RpIprxZg&q=Mumbai+all+colleges&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=11008323107379318053,19.1284957,72.8645942,https://tcc.tolani.edu/,tcc.tolani.edu,"Sunday:[8:30 am–5 pm], Monday:[8:30 am–5 pm], Tuesday:[8:30 am–5 pm], Wednesday:[8:30 am–5 pm], Thursday:[8:30 am–5 pm], Friday:[8:30 am–5 pm], Saturday:[8:30 am–5 pm]",https://lh5.googleusercontent.com/p/AF1QipOR6nqyE_1bnvMz9Vsu5nxB23SGWOy6LL3jHnFZ=w80-h106-k-no,1.10E+19,ChIJ3fbhLifI5zsRJY0RpIprxZg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elphinstone College,"156, Mahatma Gandhi Road, Mantralaya, Fort, Mumbai, Maharashtra 400023","156, Mahatma Gandhi Road","Mantralaya, Fort",Government college,022 2284 4060,"022 2284 4060, +91 22 2284 4060",NO,771,4.1,https://search.google.com/local/reviews?placeid=ChIJxROaOh7O5zsRfTGZd4LuoaU&q=Mumbai+all+colleges&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=11935082731628212605,18.9271362,72.8310487,https://elphinstone.ac.in/,elphinstone.ac.in,"Sunday:[Closed], Monday:[8 am–6 pm], Tuesday:[8 am–6 pm], Wednesday:[8 am–6 pm], Thursday:[8 am–6 pm], Friday:[8 am–6 pm], Saturday:[8 am–6 pm]",https://lh5.googleusercontent.com/p/AF1QipNU8TRaQff0e5ayVAc6D2ZyYY78ejPWb-B-Wf9V=w80-h106-k-no,1.19E+19,ChIJxROaOh7O5zsRfTGZd4LuoaU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K J Somaiya College Of Arts And Commerce,"Ghatkopar - Mahul Rd, Vidyanagar, Vidya Vihar East, Ghatkopar East, Mumbai, Maharashtra 400077",Ghatkopar - Mahul Rd,"Vidyanagar, Vidya Vihar East, Ghatkopar East","College,Backpacker Hostel,Library,Playground",022 2102 0367,"022 2102 0367, +91 22 2102 0367",YES,1932,4.3,https://search.google.com/local/reviews?placeid=ChIJq6qqmifG5zsR0yZuHX0rERw&q=Mumbai+all+colleges&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=2022445524030727891,19.0749651,72.8995181,https://www.somaiya.edu/kjsac,somaiya.edu,,https://lh5.googleusercontent.com/p/AF1QipPVJg9hfPWzZt3dX8p8FxqCdEDDNKsjflXAKAav=w80-h106-k-no,2.02E+18,ChIJq6qqmifG5zsR0yZuHX0rERw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"B.G.P.S.' Mumbai College of Arts, Commerce & Science","Jadhav Knowledge Centre, J.K, near Mumbai Port Trust Hospital, Nadkarni Park, Wadala East, BPT Colony, Wadala, Mumbai, Maharashtra 400037",Jadhav Knowledge Centre,J.K,College,022 2416 2168,"022 2416 2168, +91 22 2416 2168",NO,65,3.4,https://search.google.com/local/reviews?placeid=ChIJ6TJIWBjP5zsRKtfg8IuioI8&q=Mumbai+all+colleges&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=10349450665622820650,19.0123804,72.8604813,https://mumbaicollege.in/,mumbaicollege.in,"Sunday:[Open 24 hours], Monday:[Open 24 hours], Tuesday:[Open 24 hours], Wednesday:[Open 24 hours], Thursday:[Open 24 hours], Friday:[Open 24 hours], Saturday:[Open 24 hours]",https://lh5.googleusercontent.com/p/AF1QipPQWGvEoYhaY-Bp2RVXym3JB914p4pQJWofZTq0=w80-h106-k-no,1.03E+19,ChIJ6TJIWBjP5zsRKtfg8IuioI8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Guru Nanak College of Arts, Science and Commerce","R Jaimal Singh Marg, G.T.B.Nagar, Sion East, Antop Hill, Mumbai, Maharashtra 400037",R Jaimal Singh Marg,"G.T.B.Nagar, Sion East, Antop Hill",College,022 2407 1098,"022 2407 1098, +91 22 2407 1098",YES,478,4.2,https://search.google.com/local/reviews?placeid=ChIJ9w__v9LI5zsRi3uLtG01Ry4&q=Mumbai+all+colleges&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=3334692794387889035,19.0354854,72.8644561,http://www.gurunanakcollegeasc.in/,gurunanakcollegeasc.in,"Sunday:[Closed], Monday:[7:30 am–6 pm], Tuesday:[7:30 am–6 pm], Wednesday:[7:30 am–6 pm], Thursday:[7:30 am–6 pm], Friday:[7:30 am–6 pm], Saturday:[7:30 am–6 pm]",https://lh5.googleusercontent.com/p/AF1QipO4zJVgPKgCDwn4Iez23dfv4tWlr0ONDBs4g3gt=w122-h92-k-no,3.33E+18,ChIJ9w__v9LI5zsRi3uLtG01Ry4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K J Somaiya College of Science and Commerce,"3VFX+4M9, Vidyanagar, Vidya Vihar East, Ghatkopar East, Mumbai, Maharashtra 400077",3VFX+4M9,"Vidyanagar, Vidya Vihar East, Ghatkopar East",College,070282 33777,"070282 33777, +91 70282 33777",NO,12,4.3,https://search.google.com/local/reviews?placeid=ChIJm_jkbanH5zsR90tCfC60YSc&q=Mumbai+all+colleges&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=2837747351966338039,19.0753729,72.8992837,https://kjssc.somaiya.edu.in/,kjssc.somaiya.edu.in,,https://lh5.googleusercontent.com/p/AF1QipMULUAYjU2Lk-gC_wRMnCemiR4OxCH85Ose59F1=w80-h106-k-no,2.84E+18,ChIJm_jkbanH5zsR90tCfC60YSc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NES Ratnam College of Arts, Science and Commerce","National High School, NES Complex, Marg Cross Road, Battipada, Bhandup West, Mumbai, Maharashtra 400078",National High School,NES Complex,College,RH6vZov1EPmPseMPu7ai6AY,,YES,375,3.9,https://search.google.com/local/reviews?placeid=ChIJd7CMUm645zsRrEWXs-nwSkU&q=Mumbai+all+colleges&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=4993068023424697772,19.1493759,72.9356528,,,"Sunday:[Closed], Monday:[9 am–5 pm], Tuesday:[9 am–5 pm], Wednesday:[9 am–5 pm], Thursday:[9 am–5 pm], Friday:[9 am–5 pm], Saturday:[9 am–5 pm]",https://lh5.googleusercontent.com/p/AF1QipOyNATSh9fB_cJaQeIqsZPe60h-o81iQ1UOHHCr=w122-h92-k-no,4.99E+18,ChIJd7CMUm645zsRrEWXs-nwSkU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajiv gandhi night college of arts and commerce favor nagar vikhroli east mumbai 83,"4W8M+V64, Tagore Nagar, Vikhroli, Mumbai, Maharashtra 400083",4W8M+V64,"Tagore Nagar, Vikhroli",College,RH6vZov1EPmPseMPu7ai6AY,,NO,1,5,https://search.google.com/local/reviews?placeid=ChIJUT-l4Z7H5zsRCrGXRqgdXrQ&q=Mumbai+all+colleges&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=12996858183213887754,19.1171486,72.9330792,,,,https://lh5.googleusercontent.com/p/AF1QipMnECRwPXu9NVpO8jbRwWK46fw_srvxQtU_ZbyE=w122-h92-k-no,1.30E+19,ChIJUT-l4Z7H5zsRCrGXRqgdXrQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramniranjan Jhunjhunwala College of Arts. Science & Commerce (Empowered Autonomous Status),"Station Road Opposite Ghatkopar Railway Station, Ghatkopar West, Mumbai, Maharashtra 400086",Station Road Opposite Ghatkopar Railway Station,Ghatkopar West,"College,School",022 2515 1763,"022 2515 1763, +91 22 2515 1763",YES,2498,4.3,https://search.google.com/local/reviews?placeid=ChIJ0XqSRS3G5zsRvVbkghcw5J4&q=Mumbai+all+colleges&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=11449329030221027005,19.0869625,72.9093963,http://www.rjcollege.edu.in/,rjcollege.edu.in,"Sunday:[Closed], Monday:[6:45 am–9:30 pm], Tuesday:[6:45 am–9:30 pm], Wednesday:[6:45 am–9:30 pm], Thursday:[6:45 am–9:30 pm], Friday:[6:45 am–9:30 pm], Saturday:[6:45 am–9:30 pm]",https://lh5.googleusercontent.com/p/AF1QipMxYPUZ43nHBIWgEguQF-XW7CLesYbu7H6Cbud2=w163-h92-k-no,1.14E+19,ChIJ0XqSRS3G5zsRvVbkghcw5J4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. College of Commerce and Economics,"Vidyasagar Principal K.M. Kundnani Chowk, 123, Dinshaw Vacha Rd, Churchgate, Mumbai, Maharashtra 400020",Vidyasagar Principal K.M. Kundnani Chowk,"123, Dinshaw Vacha Rd",College,022 2287 6115,"022 2287 6115, +91 22 2287 6115",YES,669,4.4,https://search.google.com/local/reviews?placeid=ChIJ0Wg9FOjR5zsRf01w9R6Zn4Q&q=Mumbai+all+colleges&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=9556525292549328255,18.9299683,72.8266187,http://www.hrcollege.edu/,hrcollege.edu,"Sunday:[Closed], Monday:[9 am–5 pm], Tuesday:[9 am–5 pm], Wednesday:[9 am–5 pm], Thursday:[9 am–5 pm], Friday:[9 am–5 pm], Saturday:[9 am–5 pm]",https://lh5.googleusercontent.com/p/AF1QipPmPwegZJmweKwUMNh3oAsJBrUdM23m7sJ5FS7v=w80-h106-k-no,9.56E+18,ChIJ0Wg9FOjR5zsRf01w9R6Zn4Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIES College of Commerce and Economics,"Plot No.71, 72, TV Chidambaran Marg, near Champaklal Industries, Air Force Quarters, Sion East, Sion, Mumbai, Maharashtra 400022",Plot No.71,"72, TV Chidambaran Marg",College,022 2401 5463,"022 2401 5463, +91 22 2401 5463",NO,421,4.1,https://search.google.com/local/reviews?placeid=ChIJ68beKszI5zsRaPGm1HTEEBM&q=Mumbai+all+colleges&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=1373813892410962280,19.0434069,72.866763,http://www.siesce.edu.in/,siesce.edu.in,"Sunday:[10 am–6 pm], Monday:[10 am–6 pm], Tuesday:[10 am–6 pm], Wednesday:[10 am–6 pm], Thursday:[10 am–6 pm], Friday:[10 am–6 pm], Saturday:[10 am–1 pm]",https://lh5.googleusercontent.com/p/AF1QipOBVUQkHdIB7DYLLytlDKyWY6JkMmS3pFAJD416=w80-h106-k-no,1.37E+18,ChIJ68beKszI5zsRaPGm1HTEEBM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"St Andrew's College of Arts, Science and Commerce","3R4H+PGV St. Andrew's College, St Domnic Rd, Bandra West, Mumbai, Maharashtra 400050",3R4H+PGV,St. Andrew's College,College,074000 84934,"074000 84934, +91 74000 84934",NO,648,4.4,https://search.google.com/local/reviews?placeid=ChIJlWOc7z_J5zsRSv4wh2o2s7U&q=Mumbai+all+colleges&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=13092868372858732106,19.0565709,72.8289126,https://standrewscollege.ac.in/,standrewscollege.ac.in,"Sunday:[Closed], Monday:[9 am–4 pm], Tuesday:[9 am–4 pm], Wednesday:[9 am–4 pm], Thursday:[9 am–4 pm], Friday:[9 am–4 pm], Saturday:[9 am–4 pm]",https://lh5.googleusercontent.com/p/AF1QipOUK9afffSRX7-p7bqX7VJWB1ONqbAeAMRBPjMb=w80-h106-k-no,1.31E+19,ChIJlWOc7z_J5zsRSv4wh2o2s7U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M D College of Arts, Science and Commerce","XRXR+C7P, 25, Dr SS Rao Marg, Ganesh Gully, Parel, Mumbai, Maharashtra 400012",XRXR+C7P,"25, Dr SS Rao Marg",College,022 2410 4541,"022 2410 4541, +91 22 2410 4541",YES,964,4.2,https://search.google.com/local/reviews?placeid=ChIJq-LCafrO5zsRndYZErUBBFA&q=Mumbai+all+colleges&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=5765735300145469085,18.9985341,72.8409755,http://www.mdcollege.in/,mdcollege.in,"Sunday:[Closed], Monday:[8 am–6 pm], Tuesday:[8 am–6 pm], Wednesday:[8 am–6 pm], Thursday:[8 am–6 pm], Friday:[8 am–6 pm], Saturday:[8 am–6 pm]",https://lh5.googleusercontent.com/p/AF1QipP1Mz_XMLVadbLefTAkAglaTx3C2ZDvqNuypxTB=w80-h142-k-no,5.77E+18,ChIJq-LCafrO5zsRndYZErUBBFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra College of Arts Science and Commerce,"246-A, Jahangir Boman Behram Marg, Opp Alexandra Cinema, Nagpada, Mumbai, Maharashtra 400008","246-A, Jahangir Boman Behram Marg, Opp Alexandra Cinema",Nagpada,College,022 2308 1665,"022 2308 1665, +91 22 2308 1665",NO,1045,4,https://search.google.com/local/reviews?placeid=ChIJsS6Q8G3O5zsR7g9T-pJmP4A&q=Mumbai+all+colleges&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=9241217741838553070,18.9678784,72.8267364,http://www.maharashtracollege.org/,maharashtracollege.org,"Sunday:[Closed], Monday:[10:30 am–5 pm], Tuesday:[10:30 am–5 pm], Wednesday:[10:30 am–5 pm], Thursday:[10:30 am–5 pm], Friday:[10:30 am–5 pm], Saturday:[10:30 am–5 pm]",https://lh5.googleusercontent.com/p/AF1QipM5vNhv2jImRBD8uA5ZuBsinon39CQt_KT2_Gha=w122-h92-k-no,9.24E+18,ChIJsS6Q8G3O5zsR7g9T-pJmP4A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Universal MSG-SGKM College of Arts, Science & Commerce","Plot No, 17, Tilak Rd, opp. Lion’s Garden, Sindhu Wadi, Ghatkopar East, Mumbai, Maharashtra 400077",Plot No,"17, Tilak Rd",College,091369 81250,"091369 81250, +91 91369 81250",YES,148,4.1,https://search.google.com/local/reviews?placeid=ChIJka3JkfLO5zsRsIACYiJCNso&q=Mumbai+all+colleges&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=14570906359844470960,19.0766216,72.9053274,https://ghatkopar.universalcollege.edu.in/,universalcollege.edu.in,,https://lh5.googleusercontent.com/p/AF1QipNmOESq0X7G_nGUNVawrULcikI7m6VBTK3D6KHa=w196-h92-k-no,1.46E+19,ChIJka3JkfLO5zsRsIACYiJCNso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chetana College,"New Bldg.,, Survey No. 341, SD Mandir Rd, Government Colony, Bandra East, Mumbai, Maharashtra 400051","New Bldg.,","Survey No. 341, SD Mandir Rd","College,Auditorium,Cafeteria,Library",022 2642 2750,"022 2642 2750, +91 22 2642 2750",NO,1040,4,https://search.google.com/local/reviews?placeid=ChIJmxKwoR_J5zsRIxImrwAnYLc&q=Mumbai+all+colleges&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=13213604190597026339,19.0612657,72.848503,http://www.chetanacollege.in/,chetanacollege.in,"Sunday:[Closed], Monday:[Open 24 hours], Tuesday:[Open 24 hours], Wednesday:[Open 24 hours], Thursday:[Open 24 hours], Friday:[Open 24 hours], Saturday:[Open 24 hours]",https://lh5.googleusercontent.com/p/AF1QipOxkOIG75nTqphkrK6hytoAVGudHVFjYMEFbMvB=w122-h92-k-no,1.32E+19,ChIJmxKwoR_J5zsRIxImrwAnYLc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vikas College of Arts Science and Commerce,"Vikas College Rd, Kannamwar Nagar II, Vikhroli, Mumbai, Maharashtra 400083",Vikas College Rd,"Kannamwar Nagar II, Vikhroli",College,022 2578 3540,"022 2578 3540, +91 22 2578 3540",YES,368,3.8,https://search.google.com/local/reviews?placeid=ChIJ____z5vH5zsRunJP1Otopgk&q=Mumbai+all+colleges&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=695358554563900090,19.1186543,72.9389382,http://www.vikascollege.org/,vikascollege.org,"Sunday:[Closed], Monday:[7 am–1 pm], Tuesday:[7 am–1 pm], Wednesday:[7 am–1 pm], Thursday:[7 am–1 pm], Friday:[7 am–1 pm], Saturday:[7 am–1 pm]",https://lh5.googleusercontent.com/p/AF1QipN2oZJGbiYOJxbyKsfrT802JmoYYGf9sBRY6y8Z=w177-h92-k-no,6.95E+17,ChIJ____z5vH5zsRunJP1Otopgk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Don Bosco Institute of Technology, Mumbai","Premier Automobiles Road Opp. HDIL Premier Exotica, Kurla, Mumbai, Maharashtra 400070",Premier Automobiles Road Opp. HDIL Premier Exotica,Kurla,"Institute of technology,Engineering school,Technical school",022 6887 8700,"022 6887 8700, +91 22 6887 8700",YES,871,4.4,https://search.google.com/local/reviews?placeid=ChIJn2xFaobI5zsRdcWqW9FFF40&q=Mumbai+all+colleges&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=10166671449300583797,19.0812532,72.8885961,https://www.dbit.in/,dbit.in,"Sunday:[Closed], Monday:[9 am–5 pm], Tuesday:[9 am–5 pm], Wednesday:[9 am–5 pm], Thursday:[9 am–5 pm], Friday:[9 am–5 pm], Saturday:[Closed]",https://lh5.googleusercontent.com/p/AF1QipNKWueOyj6gVagSfbue_bhqTC3tL5HgUybxAj_b=w163-h92-k-no,1.02E+19,ChIJn2xFaobI5zsRdcWqW9FFF40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indira Gandhi College of Arts and Commerce,"west, Park Site Rd, Vikhroli Park Site, BMC Colony, Vikhroli West, Mumbai, Maharashtra 400079","west, Park Site Rd","Vikhroli Park Site, BMC Colony, Vikhroli West",College,V36vZsD3F56hseMP096G2Qk,,NO,50,4,https://search.google.com/local/reviews?placeid=ChIJuxuViMTH5zsRRgt7ux9gBwQ&q=Mumbai+all+colleges&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=290306390394342214,19.1058035,72.9123405,https://igcac.in/,igcac.in,,https://lh5.googleusercontent.com/p/AF1QipOCU-5HeAUqeFj5GC4UKM81Qnjl8WLp8v-H92ZJ=w122-h92-k-no,2.90E+17,ChIJuxuViMTH5zsRRgt7ux9gBwQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahatma Night Junior & Degree College of Arts & Commerce,"3V3V+CCG, Chembur East, Runwal Park, Sindhi Society, Chembur, Mumbai, Maharashtra 400071",3V3V+CCG,"Chembur East, Runwal Park, Sindhi Society, Chembur",College,022 2522 4856,"022 2522 4856, +91 22 2522 4856",NO,63,4.2,https://search.google.com/local/reviews?placeid=ChIJAQCQox_G5zsR7CRwQJI4KaA&q=Mumbai+all+colleges&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=11540817720911078636,19.053562,72.8935698,http://www.mahatmandc.ac.in/,mahatmandc.ac.in,,https://lh5.googleusercontent.com/p/AF1QipOwxxHYV0kFpCjEVx-ru-_9d4_ak_pKSI5rcoUO=w122-h92-k-no,1.15E+19,ChIJAQCQox_G5zsR7CRwQJI4KaA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thakur College of Science and Commerce,"6V4F+FPF, Thakur Rd, ठाकुर, Thakur Village, Kandivali East, Mumbai, Maharashtra 400101",6V4F+FPF,Thakur Rd,"College,Educational institution,School",022 2887 0627,"022 2887 0627, +91 22 2887 0627",NO,2075,4.1,https://search.google.com/local/reviews?placeid=ChIJaZPgyTi35zsRVA_wigYc6Us&q=Mumbai+all+colleges&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=5469934036844547924,19.2061947,72.8742975,https://www.tcsc.edu.in/,tcsc.edu.in,"Sunday:[Closed], Monday:[10 am–5 pm], Tuesday:[10 am–5 pm], Wednesday:[10 am–5 pm], Thursday:[10 am–5 pm], Friday:[10 am–5 pm], Saturday:[10 am–5 pm]",https://lh5.googleusercontent.com/p/AF1QipMjbJXtpwg9o74M3167sPu1yT1aBK64zAeR8jvt=w80-h106-k-no,5.47E+18,ChIJaZPgyTi35zsRVA_wigYc6Us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rizvi College of Arts, Science and Commerce","Rizvi Educational Complex, Off Carter Rd, Rizvi Complex, Chuim, Bandra West, Mumbai, Maharashtra 400050",Rizvi Educational Complex,Off Carter Rd,College,090048 34583,"090048 34583, +91 90048 34583",NO,923,4.1,https://search.google.com/local/reviews?placeid=ChIJP0KV-23J5zsRpWkJ0HNuAjg&q=Mumbai+all+colleges&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=4035909659767957925,19.0684724,72.824408,http://www.rizvicollege.edu.in/,rizvicollege.edu.in,"Sunday:[Closed], Monday:[9 am–5:15 pm], Tuesday:[9 am–5:15 pm], Wednesday:[9 am–5:15 pm], Thursday:[9 am–5:15 pm], Friday:[9 am–5:15 pm], Saturday:[12–4 pm]",https://lh5.googleusercontent.com/p/AF1QipP0eoRM2dCAEDexBtxgNy3osZ-einLWZywrZIuP=w129-h92-k-no,4.04E+18,ChIJP0KV-23J5zsRpWkJ0HNuAjg,"Ground, 1st, 2nd Floor, Palm Court complex, New Link Rd, Malad West, Mumbai, Maharashtra 400064","Ground, 1st, 2nd Floor, Palm Court complex",New Link Rd,"Hypermarket,Grocery store",022 3340 0500,"022 3340 0500, +91 22 3340 0500",YES,17166,4.2,https://search.google.com/local/reviews?placeid=ChIJnUd5au625zsR4G6PeNn1YBw&q=Mumbai+all+Demarts&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=2044904545205579488,19.1858028,72.835477,http://www.dmartindia.com/,dmartindia.com,"Sunday:[7 am–10 pm], Monday:[7 am–10 pm], Tuesday:[7 am–10 pm], Wednesday:[7 am–10 pm], Thursday:[7 am–10 pm], Friday:[7 am–10 pm], Saturday:[7 am–10 pm]",https://lh5.googleusercontent.com/p/AF1QipM6wSncM16SarUC_IRc6SaCufSI5l2w-h7NRRxl=w122-h92-k-no,2.04E+18,ChIJnUd5au625zsR4G6PeNn1YBw,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,
